,title,pitchfork,bnm,year,artist,genre,fantano,_merge
6,stillness in wonderland,7.1,0.0,2016.0,little simz,rap,5.0,both
34,do what thou wilt.,4.4,0.0,2016.0,ab-soul,rap,7.0,both
55,4 your eyez only,6.7,0.0,2016.0,j. cole,rap,6.0,both
92,24k magic,6.2,0.0,2016.0,bruno mars,pop/r&b,7.0,both
100,starboy,6.7,0.0,2016.0,the weeknd,pop/r&b,5.0,both
141,telling it like it is,6.4,0.0,2016.0,marching church,rock,7.0,both
183,jessica rabbit,5.9,0.0,2016.0,sleigh bells,pop/r&b,7.0,both
199,black america again,7.9,0.0,2016.0,common,rap,5.0,both
210,dissociation,6.9,0.0,2016.0,the dillinger escape plan,metal,7.0,both
224,big baby d.r.a.m.,7.8,0.0,2016.0,d.r.a.m.,rap,7.0,both
235,joanne,6.9,0.0,2016.0,lady gaga,pop/r&b,6.0,both
261,yes lawd!,8.2,1.0,2016.0,nxworries,pop/r&b,7.0,both
262,remember us to life,6.6,0.0,2016.0,regina spektor,rock,8.0,both
280,ruminations,7.5,0.0,2016.0,conor oberst,rock,8.0,both
282,the altar,5.1,0.0,2016.0,banks,pop/r&b,5.0,both
290,revolution radio,5.1,0.0,2016.0,green day,rock,3.0,both
307,a seat at the table,8.7,1.0,2016.0,solange,pop/r&b,8.0,both
312,rheia,7.8,0.0,2016.0,oathbreaker,metal,4.0,both
314,atrocity exhibition,8.5,1.0,2016.0,danny brown,rap,9.0,both
327,sirens,8.7,1.0,2016.0,nicolas jaar,electronic,6.0,both
391,skeleton tree,9.0,1.0,2016.0,nick cave & the bad seeds,rock,8.0,both
407,schmilco,7.0,0.0,2016.0,wilco,rock,6.0,both
412,birds in the trap sing mcknight,7.2,0.0,2016.0,travis scott,rap,3.0,both
450,amnesty (i),6.8,0.0,2016.0,crystal castles,electronic,4.0,both
488,honor killed the samurai,8.0,0.0,2016.0,ka,rap,8.0,both
523,innocence reaches,6.3,0.0,2016.0,of montreal,rock,5.0,both
543,major key,6.9,0.0,2016.0,dj khaled,rap,6.0,both
544,major key,6.9,0.0,2016.0,dj khaled,pop/r&b,6.0,both
549,the perfect luv tape,6.9,0.0,2016.0,lil uzi vert,rap,3.0,both
581,everybody looking,7.0,0.0,2016.0,gucci mane,rap,6.0,both
610,iv,7.1,0.0,2016.0,badbadnotgood,jazz,7.0,both
651,wildflower,8.5,1.0,2016.0,the avalanches,electronic,7.0,both
667,the bride,7.6,0.0,2016.0,bat for lashes,rock,5.0,both
681,freetown sound,8.8,1.0,2016.0,blood orange,pop/r&b,6.0,both
717,the glowing man,8.1,0.0,2016.0,swans,rock,9.0,both
718,still brazy,8.0,0.0,2016.0,yg,rap,8.0,both
728,case/lang/veirs,8.2,0.0,2016.0,case/lang/veirs,rock,7.0,both
731,you will never be one of us,7.8,0.0,2016.0,nails,metal,8.0,both
770,black terry cat,8.0,0.0,2016.0,xenia rubinos,rock,8.0,both
804,the dream is over,7.8,0.0,2016.0,pup,rock,6.0,both
805,tempo,7.9,0.0,2016.0,olga bell,pop/r&b,7.0,both
828,strangers,7.6,0.0,2016.0,marissa nadler,folk/country,8.0,both
832,teens of denial,8.5,1.0,2016.0,car seat headrest,rock,8.0,both
844,coloring book,9.1,1.0,2016.0,chance the rapper,rap,7.0,both
848,holy ghost,7.7,0.0,2016.0,modern baseball,rock,7.0,both
849,nattesferd,8.0,0.0,2016.0,kvelertak,metal,6.0,both
852,konnichiwa,7.8,0.0,2016.0,skepta,rap,7.0,both
